"Horodateur","In which section are you?","How many credits have you currently achieved?","How many of these credits were obtained outside the EDCE coursebook?","How did you proceed to select the course(s) you attended? (Multiple choices are possible)","Select the type(s) of course format that you prefer? (Multiple choices are possible)","Tick in the list below the item which contributes the most to your progression during the thesis? (Multiple choices are possible)","How would you grade (in general) the EDCE course book?","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Data Analysis for Science and Engineering]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Optimization and simulation]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Fourier analysis and boundary value problems]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Scientific programming for engineers]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Information Science in Engineering]","Among the 6 mandatory courses, which one do you consider relevant for your thesis? [Understanding Statistics and Experimental design]","Comments on your ratings?","Which of the mandatory courses have you followed (and got credits for)?","What about the other recommended courses?","Ideally, I would like to have [...] [more courses on general engineering topics.]","Ideally, I would like to have [...] [more specific courses (closer to my research).]","Ideally, I would like to have [...] [courses developing my soft skills.]","Ideally, I would like to have [...] [more workshops.]","Ideally, I would like to have [...] [more research related courses.]","Ideally, I would like to have [...] [more summer/winter schools.]","If you could improve one thing right now, what would it be?","If you could suggest an additional EDCE course, what would it be?","Anything else that you would like to share with us?"
"2019/04/01 10:39:31 AM UTC+2","Civil Engineering","11","11","After reading the course book of other doctoral programs;Using IS-Academia course book;After discussing with my colleagues","Semester course (2-3 hours every week during one semester);Class from the bachelor/master course books;Project-oriented learning","Conferences and congresses outside EPFL;Soft skill courses;Courses other than the mandatory ones","3","Agree","Undecided / Neutral","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","It's difficult to choose the right course that is relevant for our thesis among only 6 courses. My topic is in between Mathematics and Computer Science, so these courses are not really useful or I've already done similar courses.","None of them","Not very useful","Strongly Agree","Undecided / Neutral","Strongly Agree","Disagree","Agree","Undecided / Neutral","I don't think the mandatory courses are really useful. We have too many different topics in EDCE to be able to touche everybody's research with only 6 courses. Thus, I would remove the mandatory courses.","No idea","I did two of the mandatory courses during my Master. So, I didn't have to do any of the mandatory courses for my PhD. "
"2019/04/01 10:41:19 AM UTC+2","Civil Engineering","12","4","On the EDCE program webpage;Using IS-Academia course book","Semester course (2-3 hours every week during one semester);Class from the bachelor/master course books","Conferences and congresses outside EPFL;Master Courses","6","Disagree","Agree","Disagree","Undecided / Neutral","Undecided / Neutral","Disagree","","Optimization and simulation;Information Science in Engineering","Not very useful","Agree","Agree","Undecided / Neutral","Disagree","Disagree","Disagree","","",""
"2019/04/01 10:44:38 AM UTC+2","Civil Engineering","16","4","On the EDCE program webpage;Following my advisor suggestions;Using IS-Academia course book","Semester course (2-3 hours every week during one semester)","Mandatory courses;Courses other than the mandatory ones","7","Disagree","Agree","Disagree","Strongly Agree","Disagree","Disagree","","Fourier analysis and boundary value problems;Scientific programming for engineers","Neutral","Undecided / Neutral","Agree","Undecided / Neutral","Disagree","Disagree","Undecided / Neutral","","",""
"2019/04/01 10:45:49 AM UTC+2","Civil Engineering","12","12","Following my advisor suggestions;After reading the course book of other doctoral programs;After discussing with my colleagues","Block course (5-10 days of courses in a row);Project-oriented learning;Summer/Winter school","Summer/Winter Schools;Soft skill courses","4","Undecided / Neutral","Agree","Strongly Disagree","Undecided / Neutral","Disagree","Disagree","","None of them","Not very useful","Disagree","Strongly Agree","Strongly Agree","Undecided / Neutral","Undecided / Neutral","Agree","Make sur MOOCs can count for credits.  ","Advanced courses on traffic engineering","I took the optimization and simulation course during my master's degree, hence I cannot take it during my PhD."
"2019/04/01 10:48:43 AM UTC+2","Environmental Science","12","8","After reading the course book of other doctoral programs;Using IS-Academia course book","Semester course (2-3 hours every week during one semester);Class from the bachelor/master course books;Summer/Winter school","Summer/Winter Schools;Teaching assistanship;Conferences and congresses outside EPFL;Courses other than the mandatory ones","5","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","","Data Analysis for Science and Engineering","Not very useful","Disagree","Strongly Agree","Undecided / Neutral","Agree","Undecided / Neutral","Agree","","",""
"2019/04/01 10:49:32 AM UTC+2","Civil Engineering","10","8","On the EDCE program webpage;After discussing with my colleagues","Block course (5-10 days of courses in a row)","Soft skill courses;Academic Writing","6","Undecided / Neutral","Undecided / Neutral","Disagree","Undecided / Neutral","Agree","Agree","","Information Science in Engineering;Understanding Statistics and Experimental design","Neutral","Undecided / Neutral","Agree","Strongly Agree","Undecided / Neutral","Agree","Undecided / Neutral","Ease the exchange for course in other university (ETHZ, UNIL...)","Good experimental practice in civil engineering",""
"2019/04/01 10:49:43 AM UTC+2","Civil Engineering","13","5","On the EDCE program webpage;Using IS-Academia course book;After discussing with my colleagues","Block course (5-10 days of courses in a row);Semester course (2-3 hours every week during one semester);Summer/Winter school","Teaching assistanship;Courses other than the mandatory ones","8","Agree","Strongly Agree","Undecided / Neutral","Agree","Agree","Agree","","Optimization and simulation","Neutral","Disagree","Strongly Agree","Agree","Agree","Agree","Agree","","",""
"2019/04/01 10:54:14 AM UTC+2","Environmental Science","0","0","On the EDCE program webpage;After discussing with my colleagues","Block course (5-10 days of courses in a row);MOOC (Online course);Summer/Winter school","Soft skill courses;Courses other than the mandatory ones","2","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Too limited choice in the courses","None of them","Neutral","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Agree","Do not have a list of mandatory courses and give more freedom of choice to the students","",""
"2019/04/01 11:22:23 AM UTC+2","Civil Engineering","18","10","On the EDCE program webpage;Following my advisor suggestions;Using IS-Academia course book;After discussing with my colleagues","Block course (5-10 days of courses in a row);Summer/Winter school","Summer/Winter Schools;Conferences and congresses outside EPFL","7","Agree","Undecided / Neutral","Disagree","Undecided / Neutral","Disagree","Agree","","None of them","Neutral","Undecided / Neutral","Agree","Agree","Agree","Undecided / Neutral","Agree","","",""
"2019/04/01 11:26:57 AM UTC+2","Environmental Science","4","0","Following my advisor suggestions","Block course (5-10 days of courses in a row)","Courses other than the mandatory ones","4","Undecided / Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","","None of them","Not very useful","Disagree","Agree","Agree","Agree","Undecided / Neutral","Agree","No restriction on bachelor courses. Courses should automatically be counted also if no grade is given. Credits should also be possible to be obtained for organizing events or external workshops, where no grade is given but a lot of time invested.","",""
